"","time1","time2","time3","time4"
"mu.star_m_K_ALDO",0.000547792581099522,2.63227194416827,2.68968754120832,2.87064394960756
"mu.star_ALD_eq",0.00134678143729263,7.15855938480008,7.17779607583977,7.20945604091623
"mu.star_P_ECF",8.6073043256647e-06,0.218967148654931,0.224733394206524,0.234947142135704
"mu.star_FF",6.82155771869475e-11,0.00138393228411585,0.00136944086879229,0.00134142752258585
"mu.star_GFR",6.24197014076344e-11,0.142175895864446,0.228739464626659,0.396121682265712
"mu.star_dtKsec_eq",8.23336279154318e-11,0.118410788328154,0.189933659145663,0.327873803871831
"mu.star_A_dtKsec",1.00999720586969e-10,0.58673508869609,0.940691851485753,1.62238147083982
"mu.star_B_dtKsec",1.50299037215973e-10,0.626732349640036,1.00736920103866,1.74398443996181
"mu.star_cdKsec_eq",2.97012334726786e-11,0.0138513937167837,0.0222857235232518,0.0385899967445667
"mu.star_A_cdKsec",1.19602248105366e-11,0.0683478054045512,0.110028078949789,0.190616703500625
"mu.star_B_cdKsec",3.11542791564534e-11,0.124782102178045,0.201421614275316,0.350258860605049
"mu.star_A_cdKreab",7.36323002570317e-11,0.226921742345755,0.364692521852332,0.630709007424986
"mu.star_A_insulin",5.13007315227227e-05,0.260041760990778,0.256177657404147,0.248590299994639
"mu.star_B_insulin",0.000193364188099487,0.985562978298065,0.969991472676861,0.939602825762229
"sigma_Phi_Kin_ss",2.02953322280667e-09,0.563771604213155,0.81106433578326,1.31105680815063
"sigma_kgut",1.01593793067089e-09,0.117449547077308,0.114383537098991,0.108474116604785
"sigma_KMuscleBase",0.000300890511734503,1.93706556858867,1.91070918442877,1.85928219427239
"sigma_Kecf_base",0.0011079373077032,1.18335752281414,1.159126304491,1.12994727999179
"sigma_Km",0.000117904118594193,0.635599876025646,0.620665188696664,0.604310425324164
"sigma_Vmax",0.000657830845321992,0.00606038043840442,0.00583101697946438,0.00538764181844528
"sigma_V_plasma",0.000191557911986322,0.029560768781732,0.0292385588465977,0.0286047654892317
"sigma_V_inter",0.00047940413086562,1.23293208104405,1.23410011127774,1.24659472588873
"sigma_V_muscle",0.000412193677394288,2.53747594073093,2.50317224141951,2.43603525995736
"sigma_m_K_ALDO",0.000688274030526036,3.58250266752628,3.64657938229061,3.83006604444498
"sigma_ALD_eq",0.000417090958159984,2.11043218437642,2.10697988725386,2.10488530209604
"sigma_P_ECF",1.06825647530436e-05,0.26898428997127,0.275739185213669,0.287761416917874
"sigma_FF",2.02300936945443e-09,0.00355984923295576,0.00352342088526408,0.00344346063913638
"sigma_GFR",1.25902197029363e-09,0.057009025843642,0.0838758333337295,0.137392622328854
"sigma_dtKsec_eq",1.44314468265293e-09,0.0697176864268101,0.107391807017961,0.181830750847579
"sigma_A_dtKsec",8.65244347842905e-11,0.280020260201786,0.424629695267493,0.711831428071581
"sigma_B_dtKsec",1.26900172676437e-09,0.374157159616087,0.576132423489916,0.974374561837567
"sigma_cdKsec_eq",8.62645484739943e-10,0.0106591447695097,0.0166374937618837,0.0283622257638729
"sigma_A_cdKsec",1.71445322432736e-11,0.0455547091658879,0.0706949135296827,0.120202901034709
"sigma_B_cdKsec",2.97519088926444e-10,0.0959202270509854,0.150021590508587,0.256484298163438
"sigma_A_cdKreab",1.13573651866268e-09,0.101776088613324,0.152529822118565,0.253523270727879
"sigma_A_insulin",0.000209419966223955,1.06984082110074,1.05448932525671,1.0242335700777
"sigma_B_insulin",0.000698001500093246,3.66275472635303,3.60561440585947,3.49401265098363
